Bacteria,Condition,Shoot length(cm),Root length(cm),Shoot weight(mg),Root weight(mg),SEScore,Electrolyte leakage C1,Electrolyte leakage C2,Electrolyte leakage(C1/C2),ChA (663nm),Chlorophyll_A(663nm),ChB(645nm),Chlorophyll_B(645nm),Total_Chlorophyll,Av chro,Sd ch,ChT(652nm)
No Bacteria,Control,51.5,9.5,3655,544,,0.189,0.224,0.84375,2.091,0.01676982,1.656,0.0334512,0.05022102,0.033203632,0.011577733,1.851
No Bacteria,Control,52.5,8.5,3503,427,,0.076,0.177,0.429378531,2.039,0.01635278,1.047,0.0211494,0.03750218,,,1.134
No Bacteria,Control,46,14,2471,672,,0.074,0.159,0.465408805,1.152,0.00923904,0.581,0.0117362,0.02097524,,,0.854
No Bacteria,Control,45,8,2351,409,,0.068,0.131,0.519083969,1.189,0.00953578,0.733,0.0148066,0.02434238,,,0.987
No Bacteria,Control,45.5,7,3031,385,,0.081,0.192,0.421875,2.107,0.01689814,0.796,0.0160792,0.03297734,,,1.167
No Bacteria,40 mM Salt,45,9,1860,432,8,0.584,0.76,0.768421053,0.583,0.00467566,0.482,0.0097364,0.01441206,0.011411984,0.004232538,0.515
No Bacteria,40 mM Salt,44,8.5,1979,624,8,0.489,0.696,0.702586207,0.468,0.00375336,0.228,0.0046056,0.00835896,,,0.292
No Bacteria,40 mM Salt,38,5.5,1324,383,9,0.231,0.304,0.759868421,0.682,0.00546964,0.503,0.0101606,0.01563024,,,0.555
No Bacteria,40 mM Salt,45,5.5,2088,483,9,0.309,0.365,0.846575342,0.336,0.00269472,0.147,0.0029694,0.00566412,,,0.207
No Bacteria,40 mM Salt,46,10,1490,219,9,0.272,0.343,0.793002915,0.507,0.00406614,0.442,0.0089284,0.01299454,,,0.46
No Bacteria,80 mM Salt,36,6.5,1845,439,9,0.082,0.106,0.773584906,0.566,0.00453932,0.499,0.0100798,0.01461912,0.006401876,0.006694777,0.515
No Bacteria,80 mM Salt,35,3.5,1410,257,9,0.122,0.16,0.7625,0.094,0.00075388,0.034,0.0006868,0.00144068,,,0.042
No Bacteria,80 mM Salt,42,5,2063,353,9,0.23,0.281,0.818505338,0.085,0.0006817,0.039,0.0007878,0.0014695,,,0.051
No Bacteria,80 mM Salt,37,5.5,538,312,9,0.09,0.121,0.743801653,0.101,0.00081002,0.044,0.0008888,0.00169882,,,0.052
No Bacteria,80 mM Salt,44,5.5,1805,222,9,0.345,0.42,0.821428571,0.493,0.00395386,0.437,0.0088274,0.01278126,,,0.453
A,Control,61,11,5614,1097,,0.087,0.167,0.520958084,2.051,0.01644902,0.755,0.015251,0.03170002,0.039728936,0.014120921,1.12
A,Control,61,11,3406,1407,,0.082,0.162,0.50617284,2.011,0.01612822,0.989,0.0199778,0.03610602,,,1.254
A,Control,55,13.5,4328,1041,,0.107,0.198,0.54040404,1.934,0.01551068,0.734,0.0148268,0.03033748,,,0.94
A,Control,58,15,5821,1562,,0.087,0.185,0.47027027,1.986,0.01592772,0.99,0.019998,0.03592572,,,1.267
A,Control,60.5,14.5,5840,1212,,0.046,0.173,0.265895954,2.692,0.02158984,2.128,0.0429856,0.06457544,,,2.183
A,40 mM Salt,52,12,4132,1507,7,0.373,0.468,0.797008547,1.735,0.0139147,0.635,0.012827,0.0267417,0.025042368,0.008281269,0.37
A,40 mM Salt,50,11,2859,1068,7,0.297,0.46,0.645652174,1.871,0.01500542,0.686,0.0138572,0.02886262,,,0.666
A,40 mM Salt,52.5,12,3006,474,5,0.175,0.295,0.593220339,1.536,0.01231872,0.559,0.0112918,0.02361052,,,1.062
A,40 mM Salt,57,8,2832,510,5,0.311,0.455,0.683516484,0.733,0.00587866,0.298,0.0060196,0.01189826,,,0.855
A,40 mM Salt,48,10,2628,447,5,0.257,0.377,0.681697613,1.597,0.01280794,1.054,0.0212908,0.03409874,,,1.123
A,80 mM Salt,52,9,2219,729,8,0.641,0.706,0.907932011,0.443,0.00355286,0.155,0.003131,0.00668386,0.016982716,0.009683958,0.516
A,80 mM Salt,47,8,2885,511,8,0.518,0.64,0.809375,0.968,0.00776336,0.367,0.0074134,0.01517676,,,0.238
A,80 mM Salt,55,11,2835,511,7,0.325,0.41,0.792682927,0.989,0.00793178,0.664,0.0134128,0.02134458,,,0.194
A,80 mM Salt,49,6,2692,881,9,0.111,0.143,0.776223776,0.68,0.0054536,0.247,0.0049894,0.010443,,,0.536
