Bacteria,Condition,PH,Avg PH,SD PH,PL,FL,TT,ET,FGN,AVG FGN,SD FGN,FGW,AVG FGW,SD FGW,UFGN,UFGW,Total_spikelet,AVG Total_spikelet,SD Total_spikelet,Percent_Fertility,Filled_spikelets_per_panicle, Avg Filled_spikelets_per_panicle, SD Filled_spikelets_per_panicle,TGW,1000_grain_weight ,Spikelet_per_Panicle,Yield(gm/plant) ,Avg yield,SD yield
No Bacteria,Control,65,63.75,7.455423082,15.4,21,5,5,93,109.25,19.25919694,1.208,1.53875,0.273219539,140,1.075,233,245,84.57343949,39.91416309,18.6,28.65833333,16.32136466,2.283,64.94623656,46.6,6.04,6.92475,3.245162079
No Bacteria,Control,70,,,16,27.4,6,5,101,,,1.455,,,257,1.23,358,,,28.2122905,20.2,,,2.685,72.02970297,71.6,7.275,,
No Bacteria,Control,53,,,11.5,22.5,2,2,106,,,1.642,,,47,0.706,153,,,69.28104575,53,,,2.348,30.98113208,76.5,3.284,,
No Bacteria,Control,67,,,14.83,17.16,6,6,137,,,1.85,,,99,0.898,236,,,58.05084746,22.83333333,,,2.748,81.02189781,39.33333333,11.1,,
No Bacteria,40 mM Salt,50,54.125,4.76751158,10.25,18,4,3,60,53,8.679477711,1.123,0.89,0.163058272,43,0.114,103,203.75,90.2713502,58.25242718,20,18.3125,3.88037262,1.237,56.15,34.33333333,3.369,2.6615,0.813631571
No Bacteria,40 mM Salt,61,,,11.5,19,5,3,45,,,0.745,,,128,0.768,173,,,26.01156069,15,,,1.513,49.66666667,57.66666667,2.235,,
No Bacteria,40 mM Salt,53,,,12.6,18.6,5,4,61,,,0.829,,,160,0.414,221,,,27.60180995,15.25,,,1.243,54.36065574,55.25,3.316,,
No Bacteria,40 mM Salt,52.5,,,11.7,16.5,5,2,46,,,0.863,,,272,1.152,318,,,14.46540881,23,,,2.015,37.52173913,159,1.726,,
No Bacteria,80 mM Salt,50,25.875,29.91202378,12.7,14.5,2,1,23,13.25,15.56438242,0.654,0.3035,0.352546451,44,0.1,67,36.25,42.09809972,34.32835821,23,13.25,15.56438242,0.754,28.43478261,67,0.654,0.3035,0.352546451
No Bacteria,80 mM Salt,53.5,,,11.7,16.5,1,1,30,,,0.56,,,48,0.11,78,,,38.46153846,30,,,0.67,18.66666667,78,0.56,,
No Bacteria,80 mM Salt,0,,,0,0,0,0,0,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,
No Bacteria,80 mM Salt,0,,,0,0,0,0,0,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,
A,Control,66,67,4.163331999,15,20.25,4,4,134,158,32.3213036,1.85,1.9965,0.343330259,152,1.835,286,311,24.52209888,46.85314685,33.5,33.275,5.618644558,3.685,55.2238806,71.5,7.4,9.52,2.169316329
A,Control,72,,,19,23,5,5,153,,,2.08,,,181,1.169,334,,,45.80838323,30.6,,,3.249,67.97385621,66.8,10.4,,
A,Control,68,,,19,24,5,5,205,,,2.43,,,125,2.11,330,,,62.12121212,41,,,4.54,59.26829268,66,12.15,,
A,Control,62,,,17.5,24,5,5,140,,,1.626,,,154,1.746,294,,,47.61904762,28,,,3.372,58.07142857,58.8,8.13,,
A,40 mM Salt,79,72.125,5.543389457,20,24,9,7,84,76.75,14.1509717,1.385,1.05125,0.32318867,254,2.18,338,276.25,50.27507666,24.85207101,12,13.60892857,1.562152002,3.565,115.4166667,48.28571429,9.695,6.15,2.842338122
A,40 mM Salt,66.5,,,17,16.87,4,4,63,,,1.193,,,152,0.936,215,,,29.30232558,15.75,,,2.129,75.74603175,53.75,4.772,,
A,40 mM Salt,74,,,14.14,15.14,7,7,93,,,0.999,,,186,0.411,279,,,33.33333333,13.28571429,,,1.41,75.19354839,39.85714286,6.993,,
A,40 mM Salt,69,,,15.1,19.2,5,5,67,,,0.628,,,206,1.79,273,,,24.54212454,13.4,,,2.418,46.86567164,54.6,3.14,,
A,80 mM Salt,77.5,71.5,5.582711408,20,23,8,6,54,61.75,8.381527307,1,1.01625,0.133377597,274,1.9,328,266.25,43.7521428,16.46341463,9,19.4375,9.238449996,2.9,111.1111111,54.66666667,6,3.84375,1.859602892
A,80 mM Salt,64.5,,,17.1,16.27,4,2,63,,,1.01,,,162,0.92,225,,,28,31.5,,,1.93,32.06349206,112.5,2.02,,
A,80 mM Salt,74,,,14.14,15.14,6,4,73,,,1.19,,,186,0.9,259,,,28.18532819,18.25,,,2.09,65.20547945,64.75,4.76,,
A,80 mM Salt,70,,,15.1,17.2,5,3,57,,,0.865,,,196,0.8,253,,,22.52964427,19,,,1.665,45.52631579,84.33333333,2.595,,
B,Control,71,64,5.033222957,15.5,20.6,4,4,120,121.75,15.45692941,1.69,1.60225,0.172296982,73,0.99,193,214.75,46.8926078,62.1761658,30,28.65,1.545962483,2.68,56.33333333,48.25,6.76,6.74625,0.137497576
B,Control,63,,,14,21.1,5,5,143,,,1.349,,,142,0.29,285,,,50.1754386,28.6,,,1.639,47.16783217,57,6.745,,
B,Control,63,,,14,24.8,4,4,106,,,1.643,,,82,0.953,188,,,56.38297872,26.5,,,2.596,62,47,6.572,,
B,Control,59,,,12,29,4,4,118,,,1.727,,,75,0.764,193,,,61.13989637,29.5,,,2.491,58.54237288,48.25,6.908,,
B,40 mM Salt,68.5,60.375,7.04006392,15.5,17.5,5,4,72,84.5,12.39623599,1.09,1.41375,0.36897911,101,0.837,173,151.5,26.00640947,41.61849711,18,27.4375,15.44125292,1.927,60.55555556,43.25,4.36,4.7035,0.913332908
B,40 mM Salt,54,,,12.5,19,4,4,86,,,1.49,,,44,0.648,130,,,66.15384615,21.5,,,2.138,69.30232558,32.5,5.96,,
B,40 mM Salt,55,,,14,18.5,6,4,79,,,1.172,,,49,0.682,128,,,61.71875,19.75,,,1.854,59.34177215,32,4.688,,
B,40 mM Salt,64,,,12,15.25,7,2,101,,,1.903,,,74,0.754,175,,,57.71428571,50.5,,,2.657,37.68316832,87.5,3.806,,
B,80 mM Salt,68.5,63.875,6.25,15.5,16.5,4,2,53,67.5,13.07669683,0.79,1.126,0.608415976,145,0.937,198,170.5,37.10795063,26.76767677,26.5,19.4375,5.931466232,1.727,29.81132075,99,1.58,4.21875,2.705926012
B,80 mM Salt,68,,,12.5,19,7,5,60,,,0.439,,,144,0.948,204,,,29.41176471,12,,,1.387,36.58333333,40.8,2.195,,
B,80 mM Salt,55,,,14,15.5,5,4,77,,,1.672,,,49,0.682,126,,,61.11111111,19.25,,,2.354,86.85714286,31.5,6.688,,
B,80 mM Salt,64,,,12,15.25,5,4,80,,,1.603,,,74,0.754,154,,,51.94805195,20,,,2.357,80.15,38.5,6.412,,
C,Control,62,62.75,3.593976442,10.67,16,4,3,139,142.75,18.62569909,1.455,1.67525,0.22208313,157,1.573,296,300.75,72.29741812,46.95945946,46.33333333,39.025,12.31330807,3.028,31.4028777,98.66666667,4.365,6.27175,1.723515472
C,Control,66,,,17,21,5,5,163,,,1.708,,,240,0.568,403,,,40.44665012,32.6,,,2.276,52.39263804,80.6,8.54,,
C,Control,65,,,16.5,18,4,4,150,,,1.568,,,117,0.221,267,,,56.17977528,37.5,,,1.789,41.81333333,66.75,6.272,,
C,Control,58,,,15,18,3,3,119,,,1.97,,,118,0.485,237,,,50.21097046,39.66666667,,,2.455,49.66386555,79,5.91,,
C,40 mM Salt,66.5,64.5,1.471960144,16.5,19,5,5,69,69.5,2.645751311,0.66,1.06225,0.325476446,147,0.405,216,163.25,50.07577591,31.94444444,13.8,22.49166667,9.921371433,1.065,47.82608696,43.2,3.3,3.506,1.001441628
C,40 mM Salt,63,,,14.5,22,5,4,66,,,1.045,,,130,0.182,196,,,33.67346939,16.5,,,1.227,63.33333333,49,4.18,,
C,40 mM Salt,64.5,,,14.5,16,4,3,71,,,1.456,,,52,0.443,123,,,57.72357724,23.66666667,,,1.899,61.52112676,41,4.368,,
C,40 mM Salt,64,,,13,18,2,2,72,,,1.088,,,46,0.35,118,,,61.01694915,36,,,1.438,30.22222222,59,2.176,,
C,80 mM Salt,66,62.875,4.007804885,16.5,13,5,4,59,57.5,7.937253933,0.66,1.03725,0.447569268,147,0.405,206,151.25,47.52104797,28.6407767,14.75,19.64583333,9.007809112,1.065,44.74576271,51.5,2.64,3.066,0.69035643
C,80 mM Salt,57,,,14.5,22,5,4,46,,,0.645,,,130,0.182,176,,,26.13636364,11.5,,,0.827,56.08695652,44,2.58,,
C,80 mM Salt,64.5,,,14.5,17,4,3,61,,,1.356,,,52,0.443,113,,,53.98230088,20.33333333,,,1.799,66.68852459,37.66666667,4.068,,
C,80 mM Salt,64,,,13,18,2,2,64,,,1.488,,,46,0.35,110,,,58.18181818,32,,,1.838,46.5,55,2.976,,
D,Control,59,61.25,9.215023965,15,22.75,4,4,146,123.25,27.45147233,1.114,1.21825,0.16367931,130,0.855,276,288.5,38.71692137,52.89855072,36.5,28.3125,9.666813936,1.969,30.52054795,69,4.456,5.5405,1.389461646
D,Control,50,,,15,24,5,4,147,,,1.089,,,110,0.96,257,,,57.19844358,36.75,,,2.049,29.63265306,64.25,4.356,,
D,Control,64,,,16,21,6,5,93,,,1.222,,,183,1.077,276,,,33.69565217,18.6,,,2.299,65.69892473,55.2,6.11,,
D,Control,72,,,18,21.2,6,5,107,,,1.448,,,238,1.196,345,,,31.01449275,21.4,,,2.644,67.6635514,69,7.24,,
D,40 mM Salt,60,62.75,4.425306016,14,25.5,4,2,51,51.5,5.196152423,0.99,0.755,0.237782814,43,1.294,94,204,90.18869109,54.25531915,25.5,15.4625,7.014672123,2.284,38.82352941,47,1.98,2.7465,1.200870101
D,40 mM Salt,66,,,17,23,7,5,48,,,0.886,,,262,0.452,310,,,15.48387097,9.6,,,1.338,92.29166667,62,4.43,,
D,40 mM Salt,58,,,15,20,5,4,59,,,0.695,,,124,0.241,183,,,32.24043716,14.75,,,0.936,47.11864407,45.75,2.78,,
D,40 mM Salt,67,,,16,18.2,5,4,48,,,0.449,,,181,1.59,229,,,20.96069869,12,,,2.039,37.41666667,57.25,1.796,,
D,80 mM Salt,50,60.25,7.93200269,14,26.5,4,3,41,41.5,4.509249753,0.909,0.73475,0.213285997,43,1.294,84,194,95.11747123,48.80952381,13.66666667,19.04166667,4.230346715,2.203,66.51219512,28,2.727,1.69675,0.774419083
D,80 mM Salt,66,,,17,23,4,2,48,,,0.886,,,262,0.452,310,,,15.48387097,24,,,1.338,36.91666667,155,1.772,,
D,80 mM Salt,58,,,15,10,4,2,39,,,0.695,,,124,0.241,163,,,23.92638037,19.5,,,0.936,35.64102564,81.5,1.39,,
D,80 mM Salt,67,,,16,18.2,5,2,38,,,0.449,,,181,1.59,219,,,17.35159817,19,,,2.039,23.63157895,109.5,0.898,,
