Bacteria,Condition,Shoot length(cm),Root length(cm),Shoot weight(g),Root weight(g),ChA (663nm),Chlorophyll_A(663nm),ChB(645nm),Chlorophyll_B(645nm),Total_Chlorophyll,Avg T chlorophyll ,SD T cholorophyll,ChT(652nm)
No Bacteria,Control,53,29,23.7,17.1,1.175,0.0094235,0.505,0.010201,0.0196245,0.01908268,0.00054182,0.647
No Bacteria,Control,52,23,17.6,17.36,1.123,0.00900646,0.472,0.0095344,0.01854086,,,0.713
No Bacteria,Control,52.5,26,20.2,13.1,1.149,0.00921498,0.4885,0.0098677,0.01908268,,,0.68
No Bacteria,40 mM Salt,49,25,22.45,16,1.258,0.01008916,0.496,0.0100192,0.02010836,0.01907674,0.00103162,0.7
No Bacteria,40 mM Salt,46,24.5,20.4,14.61,1.036,0.00830872,0.482,0.0097364,0.01804512,,,0.716
No Bacteria,40 mM Salt,47.5,25,22.3,12.95,1.147,0.00919894,0.489,0.0098778,0.01907674,,,0.708
No Bacteria,80 mM Salt,49,24,19,15.4,1.233,0.00988866,0.458,0.0092516,0.01914026,0.01829898,0.00084128,0.67
No Bacteria,80 mM Salt,45,30,18.08,13.9,1.265,0.0101453,0.362,0.0073124,0.0174577,,,0.838
No Bacteria,80 mM Salt,47.5,25,17.97,12.2,1.249,0.01001698,0.41,0.008282,0.01829898,,,0.754
I,Control,54,30,25.4,18,2.034,0.01631268,0.726,0.0146652,0.03097788,0.0276475,0.003332412,1.09
I,Control,56.5,39,23.9,16,1.543,0.01237486,0.591,0.0119382,0.02431306,,,0.863
I,Control,55,33,22.1,16.8,1.788,0.01433976,0.659,0.0133118,0.02765156,,,0.9765
I,40 mM Salt,52,32,24.5,15.9,1.382,0.01108364,0.596,0.0120392,0.02312284,0.022193577,0.000932648,0.764
I,40 mM Salt,53,30,23.91,22.12,1.429,0.01146058,0.485,0.009797,0.02125758,,,0.698
I,40 mM Salt,51.5,33,22.85,21.38,1.4055,0.01127211,0.541,0.0109282,0.02220031,,,0.731
I,80 mM Salt,55,32,22.1,20,1.723,0.01381846,0.622,0.0125644,0.02638286,0.026995543,0.000610028,0.927
I,80 mM Salt,55,31,19.5,20.76,1.724,0.01382648,0.682,0.0137764,0.02760288,,,0.931
I,80 mM Salt,51,33.5,25.1,19.01,1.7245,0.01383049,0.652,0.0131704,0.02700089,,,0.929
J,Control,56,35,21.22,23.1,1.924,0.01543048,0.914,0.0184628,0.03389328,0.02794832,0.00599817,0.691
J,Control,55,39,22.56,23,1.488,0.01193376,0.798,0.0161196,0.02805336,,,0.742
J,Control,55,33.5,23.3,26.9,1.456,0.01167712,0.506,0.0102212,0.02189832,,,0.72
J,40 mM Salt,60,35.5,22.9,25.4,1.409,0.01130018,0.739,0.0149278,0.02622798,0.02559045,0.00063753,0.747
J,40 mM Salt,65,33,28.98,23.08,2.056,0.01648912,0.419,0.0084638,0.02495292,,,0.655
J,40 mM Salt,62.5,34,23.33,27.7,1.7325,0.01389465,0.579,0.0116958,0.02559045,,,0.701
J,80 mM Salt,61,33,21.2,23,1.961,0.01572722,0.563,0.0113726,0.02709982,0.026135663,0.002270532,0.749
J,80 mM Salt,58,30,23.9,22.8,1.598,0.01281596,0.531,0.0107262,0.02354216,,,0.791
J,80 mM Salt,59.5,35.5,22.1,23.44,1.5805,0.01267561,0.747,0.0150894,0.02776501,,,0.77
