Bacteria,Condition,Plant Number,PH,Avg PH,SD PH,PL,FL,TT,ET,FGN,Av FGN,Sd FGN,FGW(g),Avg FGW,SD FGW,UFGN,UFGW(g),Total_spikelet,Avg Total Spikelet,SD Total Spikelet,Percent_Fertility,Filled_spikelets_per_panicle,Avg Filled_spikelets_per_panicle,SD Filled_spikelets_per_panicle,TGW,1000_grain_weight ,Spikelet_per_Panicle,Yield,Avg yield,SD yield
No Bacteria,Control,1,65,65.16666667,7.250287351,15.4,21,5,5,163,152.3333333,26.80049751,1.908,1.9105,0.142051751,140,1.075,303,288.6666667,99.18803691,53.79537954,32.6,36.39722222,10.21838439,2.983,58.52760736,60.6,9.54,8.735833333,2.977215909
No Bacteria,Control,2,70,,,16,27.4,6,5,181,,,2.055,,,257,1.23,438,,,41.32420091,36.2,,,3.285,56.7679558,87.6,10.275,,
No Bacteria,Control,2.1,53,,,11.5,22.5,2,2,106,,,1.642,,,47,0.706,153,,,69.28104575,53,,,2.348,30.98113208,76.5,3.284,,
No Bacteria,Control,3,67,,,14.83,17.16,6,6,137,,,1.985,,,99,0.898,236,,,58.05084746,22.83333333,,,2.883,86.93430657,39.33333333,11.91,,
No Bacteria,Control,3.1,74,,,16.63,20.25,4,4,167,,,1.959,,,185,1.16,352,,,47.44318182,41.75,,,3.119,46.92215569,88,7.836,,
No Bacteria,Control,4,62,,,13.6,16,5,5,160,,,1.914,,,90,0.892,250,,,64,32,,,2.806,59.8125,50,9.57,,
No Bacteria,40 mM Salt,1,50,56.5,4.924428901,10.25,18,4,3,70,57.4,11.32695899,1.123,0.748,0.347506834,43,0.114,113,187.2,86.26239041,61.94690265,23.33333333,18.56666667,4.226815849,1.237,48.12857143,37.66666667,3.369,2.2732,1.118204677
No Bacteria,40 mM Salt,1.2,61,,,11.5,19,5,3,45,,,0.745,,,128,0.768,173,,,26.01156069,15,,,1.513,49.66666667,57.66666667,2.235,,
No Bacteria,40 mM Salt,2.1,59,,,12.6,18.6,5,4,61,,,0.829,,,160,0.414,221,,,27.60180995,15.25,,,1.243,54.36065574,55.25,3.316,,
No Bacteria,40 mM Salt,3,52.5,,,11.7,16.5,5,2,46,,,0.863,,,272,1.152,318,,,14.46540881,23,,,2.015,37.52173913,159,1.726,,
No Bacteria,40 mM Salt,4.1,60,,,11.3,16.1,5,4,65,,,0.18,,,46,0.123,111,,,58.55855856,16.25,,,0.303,11.07692308,27.75,0.72,,
No Bacteria,80 mM Salt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Bacteria,80 mM Salt,0,0,,,0,0,0,0,0,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,
No Bacteria,80 mM Salt,0,0,,,0,0,0,0,0,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,
No Bacteria,80 mM Salt,0,0,,,0,0,0,0,0,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,
I,Control,1,68,65.83333333,7.332575718,16.3,21.8,7,7,214,167.3333333,35.27983371,1.558,1.585,0.422097619,166,0.905,380,320.3333333,70.40075757,56.31578947,30.57142857,36.7952381,5.408788515,2.463,50.96261682,54.28571429,10.906,7.4205,2.858394077
I,Control,2.1,76,,,16.1,23,5,5,207,,,1.401,,,156,0.47,363,,,57.02479339,41.4,,,1.871,33.84057971,72.6,7.005,,
I,Control,2,66,,,16.7,22.4,5,5,149,,,1.984,,,240,2.209,389,,,38.3033419,29.8,,,4.193,66.57718121,77.8,9.92,,
I,Control,3,59,,,16,21.75,4,4,148,,,2.079,,,146,1.75,294,,,50.34013605,37,,,3.829,56.18918919,73.5,8.316,,
I,Control,4,56,,,12.9,17,3,3,126,,,1.576,,,80,1.529,206,,,61.16504854,42,,,3.105,37.52380952,68.66666667,4.728,,
I,Control,4.1,70,,,15.75,24.18,5,4,160,,,0.912,,,130,1.777,290,,,55.17241379,40,,,2.689,22.8,72.5,3.648,,
I,40 mM Salt,1,62,61.6,6.348228099,13.75,20.25,7,4,89,73.6,18.70294095,1.952,1.21146,0.445197662,158,0.857,247,231.6,54.18302317,36.03238866,22.25,17.26761905,6.459171572,2.809,87.73033708,61.75,7.808,5.63184,2.608678157
I,40 mM Salt,2,60,,,12.9,22.8,5,3,71,,,0.798,,,100,0.757,171,,,41.52046784,23.66666667,,,1.555,33.71830986,57,2.394,,
I,40 mM Salt,3,69,,,13.6,18.6,6,5,43,,,0.978,,,218,0.974,261,,,16.47509579,8.6,,,1.952,113.7209302,52.2,4.89,,
I,40 mM Salt,4,65,,,15.42,16.7,11,7,88,,,1.25,,,210,1.098,298,,,29.53020134,12.57142857,,,2.348,99.43181818,42.57142857,8.75,,
I,40 mM Salt,3.1,52,,,14.13,18.25,6,4,77,,,1.0793,,,104,0.798,181,,,42.54143646,19.25,,,1.8773,56.06753247,45.25,4.3172,,
I,80 mM Salt,1,61,58.775,4.516912662,13.7,18.2,6,5,52,49,10.86278049,1.015,0.7555,0.23645225,120,0.913,172,197.5,77.34123523,30.23255814,10.4,14.25,4.642915751,1.928,97.59615385,34.4,5.075,2.917,1.728606182
I,80 mM Salt,1,52,,,10.67,16,4,3,39,,,0.455,,,157,1.573,196,,,19.89795918,13,,,2.028,35,65.33333333,1.365,,
I,80 mM Salt,1.1,61,,,17,21,5,5,63,,,0.708,,,240,0.568,303,,,20.79207921,12.6,,,1.276,56.19047619,60.6,3.54,,
I,80 mM Salt,1.1,61.1,,,15.25,19,4,2,42,,,0.844,,,77,0.759,119,,,35.29411765,21,,,1.603,40.19047619,59.5,1.688,,
J,Control,1,78,67.83333333,11.28568415,18.5,25.3,6,6,161,174.7142857,47.80765031,3.87,2.648857143,0.975469875,327,2.432,488,365.8571429,102.0448081,32.99180328,26.83333333,34.15238095,9.425848172,6.302,144.2236025,81.33333333,23.22,13.90914286,5.995904169
J,Control,1.1,49,,,13,19.5,4,4,110,,,1.39,,,106,1.68,216,,,50.92592593,27.5,,,3.07,50.54545455,54,5.56,,
J,Control,2,62,,,13.5,19.16,6,6,170,,,2.174,,,164,1.664,334,,,50.89820359,28.33333333,,,3.838,76.72941176,55.66666667,13.044,,
J,Control,2.1,66,,,14.5,18.9,5,5,163,,,2.14,,,192,1.75,355,,,45.91549296,32.6,,,3.89,65.64417178,71,10.7,,
J,Control,3.1,74,,,15.9,30.2,5,5,229,,,3.785,,,147,1.78,376,,,60.90425532,45.8,,,5.565,82.6419214,75.2,18.925,,
